Ref;Val;Package;PosX;PosY;Rot;Side
C1;12pF;C_0603_1608Metric;135.382000;-41.374000;0.000000;top
C2;12pF;C_0603_1608Metric;135.382000;-33.246000;0.000000;top
C3;100n;C_0603_1608Metric;129.794000;-44.422000;270.000000;top
C4;100n;C_0603_1608Metric;132.080000;-31.696500;90.000000;top
C5;100n;C_0603_1608Metric;121.920000;-31.976000;180.000000;top
C6;100n;C_0603_1608Metric;122.936000;-42.390000;270.000000;top
C7;100n;C_0603_1608Metric;132.334000;-41.374000;0.000000;top
C8;100n;C_0603_1608Metric;107.188000;-50.137000;90.000000;top
C9;100n;C_0603_1608Metric;119.380000;-56.868000;180.000000;top
C10;4.7uF;C_1206_3216Metric;124.942600;-53.820000;180.000000;top
C11;22uF;C_0805_2012Metric;124.940300;-48.790800;180.000000;top
F1;Fuse;Fuse_1206_3216Metric;109.220000;-49.502000;90.000000;top
Q1;2N7002;SOT-23;86.633000;-53.439000;90.000000;top
Q2;2N7002;SOT-23;93.999000;-53.455000;90.000000;top
Q3;2N7002;SOT-23;90.316000;-53.439000;90.000000;top
Q4;BSS84;SOT-23;86.633000;-80.156000;270.000000;top
Q5;BSS84;SOT-23;111.633000;-80.156000;270.000000;top
Q6;BSS84;SOT-23;136.633000;-80.156000;270.000000;top
Q7;BSS84;SOT-23;86.633000;-130.156000;270.000000;top
Q8;BSS84;SOT-23;111.633000;-130.156000;270.000000;top
Q9;BSS84;SOT-23;136.633000;-130.156000;270.000000;top
Q10;BSS84;SOT-23;86.633000;-105.212000;270.000000;top
Q11;BSS84;SOT-23;111.633000;-105.212000;270.000000;top
Q12;BSS84;SOT-23;136.633000;-105.212000;270.000000;top
Q13;BSS84;SOT-23;86.633000;-49.840000;270.000000;top
R1;100;R_0603_1608Metric;79.159000;-57.630000;180.000000;top
R2;47k;R_0603_1608Metric;86.379000;-56.106000;0.000000;top
R3;100;R_0603_1608Metric;86.379000;-57.630000;180.000000;top
R4;47k;R_0603_1608Metric;93.745000;-56.106000;0.000000;top
R5;100;R_0603_1608Metric;82.842000;-57.630000;180.000000;top
R6;47k;R_0603_1608Metric;90.062000;-56.106000;0.000000;top
R7;453K;R_0603_1608Metric;124.822000;-56.995000;90.000000;top
